Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Dec,12-14,12/12/03,17,ICM,GU,33.0,0.0,38.0,0.0,22.0,1.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,16-17,16/12/03,20,YouGov,DT,39.0,3.0,38.0,2.0,18.0,-5.0,1.0,1.0,,,,,,,,,,,,,,,,,,29.0,35.0,13.0,,31.0,58.0,-27.0,
2004,Jan,2-4,2/1/04,6,Populus,TT,35.0,2.0,40.0,4.0,18.0,-4.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,15-20,15/1/04,21,MORI,,35.0,4.0,37.0,-3.0,21.0,-1.0,-2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,16-18,16/1/04,20,ICM,GU,34.0,1.0,39.0,1.0,20.0,-2.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,20-22,20/1/04,23,YouGov,DT,40.0,1.0,35.0,-3.0,19.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,29.0,31.0,12.0,,26.0,62.0,-36.0,
,Jan,,29/1/04,31,YouGov,DT,39.0,-1.0,36.0,1.0,19.0,0.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,4-5,4/2/04,7,NOP,Ind,36.0,,35.0,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,4-5,4/2/04,8,ICM,NoW,34.0,0.0,34.0,-5.0,24.0,4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,6-8,6/2/04,10,Populus,TT,31.0,-4.0,36.0,-4.0,25.0,7.0,-5.0,0.0,,,,,,,,,,4.40,,,4.92,,,4.68,,,,,,,,,
,Feb,12-16,12/2/04,23,MORI,FT,35.0,0.0,36.0,-1.0,21.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,16-22,16/2/04,24,ICM,GU,34.0,0.0,36.0,2.0,21.0,-3.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,24-26,24/2/04,28,YouGov,DT,39.0,0.0,34.0,-2.0,21.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,28.0,32.0,13.0,,27.0,60.0,-33.0,
