Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
,May,5-7,5/5/20,10,Opinium,Ob,49.0,-2.0,33.0,0.0,6.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,16.0,-2.0,Internet,,,,51.0,31.0,20.0,35.0,17.0,18.0,13.0,20.0,-7.0,20.0,42.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,44.0,23.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,6,6/5/20,6,R+W,,50.0,0.0,31.0,-2.0,7.0,0.0,5.0,1.0,,,,,19.0,2.0,Internet,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,7-11,7/5/20,14,Kantar,,51.0,-3.0,32.0,4.0,7.0,-2.0,2.0,-2.0,2.0,1.0,0.0,0.0,19.0,-7.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,8-10,8/5/20,12,YouGov,,,,,,,,,,,,,,,,Internet,,,,57.0,35.0,22.0,39.0,17.0,22.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,44.0,37.0,7.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,13-14,13/5/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,50.0,43.0,7.0,39.0,30.0,9.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,May,13-14,13/5/20,17,Opinium,Ob,49.0,0.0,34.0,1.0,6.0,0.0,3.0,-2.0,0.0,0.0,1.0,0.0,15.0,-1.0,Internet,,,,46.0,36.0,10.0,42.0,18.0,24.0,15.0,19.0,-4.0,20.0,40.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,28.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,15,15/5/20,18,R+W,,47.0,-3.0,35.0,4.0,9.0,2.0,3.0,-2.0,,,,,12.0,-7.0,Internet,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,15-17,15/5/20,21,Savanta ComRes,,46.0,-1.0,33.0,2.0,7.0,-2.0,4.0,0.0,2.0,-1.0,,,13.0,-3.0,Internet,UK,,,46.0,31.0,15.0,29.0,28.0,1.0,,,,,,,,,,To what extent do you feel favourably or unfavourably towards…,,,,,,,40.0,32.0,8.0,To what extent do you feel favourably or unfavourably towards…,,,,
,May,15-18,15/5/20,22,Ipsos,,,,,,,,,,,,,,,,Internet,,,,45.0,38.0,7.0,34.0,26.0,8.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,May,16-18,16/5/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,42.0,-3.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,18-19,18/5/20,20,YouGov,TT,48.0,-2.0,33.0,3.0,6.0,-1.0,5.0,0.0,2.0,-1.0,,,15.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,39.0,27.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,May,21-22,21/5/20,24,Opinium,Ob,47.0,-2.0,35.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,12.0,-3.0,Internet,,,,45.0,39.0,6.0,47.0,17.0,30.0,14.0,23.0,-9.0,21.0,43.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,39.0,31.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
